danceability,energy,loudness,tempo,valence,acousticness,cluster,id
0.511,0.532,-5.745,138.005,0.35,0.177,3,1kuGVB7EU95pJObxwvfwKS
0.429,0.453,-7.746,77.639,0.155,0.554,12,4KULAymBBJcPRpk1yO4dOG
0.855,0.678,-6.276,99.029,0.852,0.0569,19,6WzRpISELf3YglGAh7TXcG
0.537,0.421,-8.72,98.224,0.524,0.827,5,2HafqoJbgXdtjwCOvNEF14
0.47,0.64,-7.779,163.92,0.248,0.0277,3,7aqfrAY2p9BUSiupwk3svU
0.927,0.619,-4.441,117.995,0.817,0.0186,11,6wsqVwoiVH2kde4k4KKAFU
0.671,0.845,-4.93,110.056,0.775,0.0207,14,1vYXt7VSjH9JIM5oRRo7vA
0.801,0.806,-5.206,106.999,0.802,0.382,4,0WtM2NBVQNNJLh6scP13H8
0.552,0.702,-5.707,169.994,0.564,0.117,10,1BxfuPKGuaTgP7aM0Bbdwr
0.627,0.879,-3.446,129.979,0.748,0.00193,14,3IX0yuEVvDbnqUwMBB3ouC
0.802,0.832,-4.107,124.997,0.89,0.311,4,7x9aauaA9cu6tyfpHnqDLo
0.662,0.488,-6.894,117.913,0.817,0.782,7,0mflMxspEfB0VbI1kyLiAv
0.444,0.0911,-17.665,78.403,0.142,0.959,6,6wf7Yu7cxBSPrRlWeSeK0Q
0.561,0.604,-4.409,159.92,0.242,0.199,3,17phhZDn6oGtzMe56NuWvj
0.644,0.735,-5.747,88.98,0.418,0.0521,0,1Qrg8KqiBpW07V7PNxwwwL
0.847,0.622,-6.747,130.001,0.22,0.119,2,4rXLjWdF2ZZpXCVTfWcshS
0.498,0.897,-4.907,169.902,0.373,0.00136,10,5w40ZYhbBMAlHYNDaVJIUu
0.758,0.703,-5.979,94.985,0.465,0.252,19,0rKWJnmo6Q0ovoPOLoLm0t
0.629,0.654,-7.852,93.034,0.799,0.0878,19,5Eh1nj7IjV9lwpcKAkidyY
0.776,0.817,-6.018,149.921,0.515,0.18,2,5sdQOyqq2IDhvmx2lHOpwd
0.638,0.717,-5.804,141.904,0.422,0.001,3,59NraMJsLaMCVtwXTSia8i
0.508,0.43,-9.475,130.09,0.324,0.83,16,1odExI7RdWc4BT515LTAwj
0.522,0.641,-6.287,87.51,0.202,0.0545,0,7CyPwkp0oE8Ro9Dd5CUDjW
0.708,0.737,-4.045,91.986,0.607,0.0739,14,7ABLbnD53cQK00mhcaOUVG
0.52,0.731,-5.338,173.93,0.662,0.342,10,4Dvkj6JhhA12EX05fT7y2e
0.639,0.723,-6.462,136.872,0.878,0.511,4,2i2gDpKKWjvnRTOZRhaPh2
0.74,0.758,-5.851,171.925,0.757,0.061,11,73RbfOTJIjHzi2pcVHjeHM
0.77,0.58,-8.393,144.072,0.753,0.519,7,741UUVE2kuITl0c6zuqqbO
0.74,0.697,-4.912,138.992,0.732,0.0268,4,6dgUya35uo964z7GZXM07g
0.783,0.592,-8.332,120.018,0.726,0.435,7,739WUU1tPFLO4x4HJq561K
0.706,0.691,-4.775,118.048,0.632,0.0584,14,7DSAEUvxU8FajXtRloy8M0
0.671,0.876,-5.681,129.998,0.964,0.12,4,23RoR84KodL5HWvUTneQ1w
0.696,0.809,-8.254,132.962,0.857,0.252,4,6AQbmUe0Qwf5PZnt4HmTXv
